origin_lat,origin_lon,dest_lat,dest_lon,city_name
40.78888,-73.49823,40.87302,-73.53148,Town of Oyster Bay_New York_USA
37.99585,-121.31151,37.95367,-121.29075,Stockton_California_USA
27.70648,-97.37477,27.79641,-97.40374,Corpus Christi_Texas_USA
40.69247,-74.18391,40.73197,-74.17421,Newark_New Jersey_USA
61.26454,-149.70541,61.21753,-149.85825,Anchorage_Alaska_USA
44.95632,-93.18515,44.94339,-93.09648,St Paul_Minnesota_USA
42.89834,-78.88421,42.88544,-78.87846,Buffalo_New York_USA
33.05782,-96.74974,33.02079,-96.69925,Plano_Texas_USA
38.2293,-85.81198,38.25486,-85.7664,Louisville_Kentucky_USA
33.53191,-112.37589,33.53861,-112.18627,Glendale_Arizona_USA
41.10366,-85.04577,41.08026,-85.13831,Fort Wayne_Indiana_USA
36.02885,-115.07063,36.03123,-114.98151,Henderson_Nevada_USA
